transaction_id,customer_id,amount,timestamp,latitude,longitude,merchant,device,ip_country
TXN001,CUST01,1200,2026-03-01T09:10:00,19.0760,72.8777,Amazon,Android,Mumbai_IN
TXN002,CUST01,900,2026-03-01T10:32:00,19.0780,72.8800,Flipkart,Android,Mumbai_IN
TXN003,CUST01,1100,2026-03-02T11:05:00,19.0740,72.8750,Amazon,Android,Mumbai_IN
TXN004,CUST01,50000,2026-03-03T02:10:00,40.7128,-74.0060,Apple,iPhone,USA
TXN005,CUST02,300,2026-03-01T13:25:00,28.6139,77.2090,Swiggy,Android,Delhi_IN
TXN006,CUST02,350,2026-03-01T14:00:00,28.6120,77.2100,Zomato,Android,Delhi_IN
TXN007,CUST02,280,2026-03-02T15:42:00,28.6145,77.2085,Swiggy,Android,Delhi_IN
TXN008,CUST02,15000,2026-03-02T03:10:00,51.5074,-0.1278,Steam,Windows,UK
TXN009,CUST03,5000,2026-03-01T18:00:00,12.9716,77.5946,Amazon,Laptop,Bangalore_IN
TXN010,CUST03,5200,2026-03-02T19:15:00,12.9700,77.5930,Amazon,Laptop,Bangalore_IN
TXN011,CUST03,4800,2026-03-03T18:45:00,12.9720,77.5950,Flipkart,Laptop,Bangalore_IN
TXN012,CUST03,75000,2026-03-03T04:05:00,35.6895,139.6917,Sony,Unknown,Japan
TXN013,CUST04,200,2026-03-01T08:05:00,22.5726,88.3639,Uber,Android,Kolkata_IN
TXN014,CUST04,180,2026-03-01T09:12:00,22.5730,88.3620,Ola,Android,Kolkata_IN
TXN015,CUST04,220,2026-03-02T08:45:00,22.5710,88.3650,Uber,Android,Kolkata_IN
TXN016,CUST04,9000,2026-03-02T02:30:00,48.8566,2.3522,Booking,iPhone,France
TXN017,CUST05,1500,2026-03-01T12:30:00,19.0760,72.8777,Amazon,Windows,Mumbai_IN
TXN018,CUST05,1700,2026-03-02T12:45:00,19.0750,72.8780,Flipkart,Windows,Mumbai_IN
TXN019,CUST05,1600,2026-03-03T13:00:00,19.0765,72.8790,Amazon,Windows,Mumbai_IN
TXN020,CUST05,30000,2026-03-03T01:10:00,34.0522,-118.2437,Nike,Mac,USA
TXN021,CUST06,450,2026-03-01T17:20:00,13.0827,80.2707,Zomato,Android,Chennai_IN
TXN022,CUST06,480,2026-03-01T18:05:00,13.0810,80.2715,Swiggy,Android,Chennai_IN
TXN023,CUST06,500,2026-03-02T19:10:00,13.0835,80.2690,Swiggy,Android,Chennai_IN
TXN024,CUST06,12000,2026-03-02T02:55:00,55.7558,37.6173,AliExpress,Linux,Russia
TXN025,CUST07,800,2026-03-01T16:40:00,17.3850,78.4867,Amazon,Android,Hyderabad_IN
TXN026,CUST07,850,2026-03-02T17:10:00,17.3840,78.4875,Flipkart,Android,Hyderabad_IN
TXN027,CUST07,820,2026-03-03T16:55:00,17.3860,78.4850,Amazon,Android,Hyderabad_IN
TXN028,CUST07,45000,2026-03-03T03:20:00,37.7749,-122.4194,Apple,Unknown,USA
TXN029,CUST08,600,2026-03-01T11:30:00,18.5204,73.8567,Uber,Android,Pune_IN
TXN030,CUST08,70000,2026-03-02T02:40:00,52.5200,13.4050,BMW,Unknown,Germany
